"",TABLE: 11.2 TOURIST RELATED ACCIDENT/INCIDENT REPORTED
"","BY NATIONALITY,  2074/75"
"",Nationality
38,JORDAN 0 0 0 0 1 0 0 0 0 4 0 1 6
39,KOREAN 3 4 1 2 1 2 2 1 1 0 1 0 18
40,KAZAKHSTAN 0 0 0 0 0 0 0 0 0 0 1 0 1
41,LEBANON 0 0 0 0 0 0 0 1 0 0 1 0 2
42,LUT 0 0 1 0 0 0 0 0 0 0 0 1
43,HONKING 0 2 0 1 1 0 0 0 1 0 0 0 5
44,MALAYSIAN 0 0 0 1 0 0 0 1 0 0 2 0 4
46,MALDIVES 0 0 0 1 0 0 0 0 0 0 0 1
50,NEW ZELAND 0 1 0 2 1 2 0 5 2 2 1 1 17
52,NORWEGIAN 0 0 0 1 0 0 1 0 1 0 0 0 3
53,Palestine 0 0 0 0 0 0 0 0 0 0 0 1 1
54,Pakistan 0 1 2 0 1 0 0 0 0 0 0 0 4
55,PORTUGAL 0 0 0 0 0 0 0 1 0 0 0 0 1
56,PHILIPPINES 0 0 0 0 0 0 0 0 0 0 0 1 1
57,POLAND 0 0 0 0 0 0 0 1 1 1 0 0 3
59,PORTUGUESE 0 0 0 0 0 0 0 0 0 0 1 0 1
60,ROMANI 0 0 0 0 0 0 0 0 0 0 1 0 1
61,RUSSIAN 0 1 0 2 2 0 1 1 3 1 2 2 15
62,SAUDI 0 0 0 0 0 0 0 0 0 0 0 1 1
64,SENEGAL 0 0 0 0 1 0 0 0 0 0 0 1
65,SWITZERLAND 0 0 1 2 0 2 0 1 0 0 0 0 6
66,SRI LANKA 1 0 1 0 0 0 0 1 0 0 2 0 5
67,SINGAPOREAN 0 0 1 1 1 0 0 1 0 0 0 4
68,SPANISH 1 3 2 2 2 1 0 2 1 0 1 0 15
69,SOUTH AFRICAN 0 0 0 0 0 0 0 1 0 2 0 0 3
70,SOLOVENE 0 0 0 1 0 0 0 0 0 0 0 0 1
72,SWISS 1 0 0 0 0 1 0 1 0 0 2 0 5
73,TAIWAN 1 0 0 1 0 0 1 1 0 0 0 0 4
75,THAILAND 0 0 0 0 0 0 1 0 2 0 0 0 3
76,TURKEY 0 0 0 0 0 0 1 0 0 0 0 0 1
78,UKRAINIAN 0 0 0 0 0 0 0 0 0 0 1 0 1
"",TOTAL 51 42 43 63 64 43 42 53 56 68 56 38  619
