"",,"TABLE 9.3: REGISTERED HOME STAY, 2015"
"",,2015 2016
District,Type,No. of No. of Affiliated BedHouse No. of No. of Affiliated Room No. of Bed Affiliated House No. of No. of Room House
"",Community,52 80 148 63 99 214 63
"",Private,34 114 198 42 126 176 49
Kathmandu,Total,86 194 346 105 225 390 112
"",Community,
"",Private,
Bhaktapur,Total,
"",Community,43 17 32 49 83 107 49
"",Private,2 5 10 2 5 10 5
Kavre,Total,45 22 42 51 88 117 54
"",Community,7 13 25 12 24 47 12
"",Private,4 10 20 6 15 30 6
Lalitpur,Total,11 23 45 18 39 77 18
"",Community,5 5 10 5 5 10 5
"",Private,0 0 0 0 0 0 0
Mugu,Total,5 5 10 5 5 10 5
"",Community,25 33 66 25 33 66 25
"",Private,0 0 0 0 0 0 0
Nuwakot,Total,25 33 66 25 33 66 25
"",Community,6 15 30 29 54 96 29
"",Private,1 3 6 1 3 6 2
Ramechhap,Total,7 15 36 30 57 102 31
