"","TABLE 5.6: NUMBER OF EXPEDITION, MEMBERS & SUMMITEE",
"",Permit issued,
S.N.,Mountain,
"",Female Male  Total,F
24,Himjung 4 4,
25,Himlung (7126m.) 3 59 62,
26,Jobo Rinjang 4 4,
27,Jomson (6335m.) 6 6,
28,Kanchanjunga (8586m.) 8 70 78,
29,Kumbhakarna (7710m) 4 4,
30,Langdung(6326m.) 1 15 16,
31,Lhoste (8516m.) 24 177 201,
32,Makalu (8463m.) 7 27 34,
33,Makalu-ii (7678m.) 1 8 9,
34,Manaslu (8163) 44 358 402,
35,Mukot Himal (6087m.) 2 15 17,
36,Mustang (6195m.) 50 72 122,
37,Nilgiri North 3 3,
38,Norbu Kang (6005m) 4 12 16,
39,Nuptse (7855m.) 6 44 50,
40,Omi Tso Go (6332m) 1 6 7,
41,Pankar Himal (6264m.) 1 6 7,
42,Peri Himal (6174m.) 2 2,
43,Pumori 16 16,
44,Purbung 5 5,
45,Putha Hiunchuli 4 7 11,
46,Saipal 7 7,
