"",,,,Age Groups,,
Year Total,,,,,,
"",0-15,16-30,,31-45 46-60,60+,Not Sp.
"736,215","32,795","171,081",,"212,176 177,983","82,726","59,454"
2011,,,,,,
"(100.0)",(4.5),(23.2),,(28.8) (24.2),(11.2),(8.1)
"803,092","35,468","181,558",,"231,117 201,835","109,239","43,875"
2012,,,,,,
"(100.0)",(4.4),(22.6),,(28.8) (25.1),(13.6),(5.5)
"797,616",46262,190630,,237690 195416,115654,11964
2013,,,,,,
"(100.0)",(5.9),(24.1),,(30.1) (24.7),(14.6),(1.5)
"790,118",50441,185685,,235738 183582,106666,28007
2014,,,,,,
"(100.0)",(6.4),(23.5),,(29.8) (23.2),(13.5),(3.5)
538970,19614,123444,,157416 129614,74518,34365
2015,,,,,,
"(100.0)",(3.6),(22.9),,(29.2) (24.0),(13.8),(6.4)
753002,29825,154960,,218479 199139,130627,19972
2016,,,,,,
"(100.0)",(4.0),(20.6),,(29.0) (26.4),(17.3),(2.7)
940218,35332,217143,,292827 244342,141316,9258
2017,,,,,,
"(100.0)",(3.8),(23.1),,(31.1) (26.0),(15.0),(1.0)
1173072,54870,269648,,360237 303452,173299,11566
2018,,,,,,
"(100.0)",(4.7),(23.0),,(30.7) (25.9),(14.8),(1.0)
Figures in parenthesis represent percentage of the total,,,,,,
